dates,producto,precio_mean
2013-12-26,PAPA PERUANITA (INJERTO),1.56
2013-12-27,PAPA AMARILLA,1.83
2013-12-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2013-12-27,PAPA HUAMANTANGA,1.35
2013-12-27,PAPA PERUANITA (INJERTO),1.74
2013-12-28,PAPA AMARILLA,1.8
2013-12-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.38
2013-12-28,PAPA HUAMANTANGA,1.36
2013-12-28,PAPA PERUANITA (INJERTO),1.63
2013-12-29,PAPA AMARILLA,1.85
2013-12-29,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.39
2013-12-29,PAPA HUAMANTANGA,1.33
2013-12-29,PAPA PERUANITA (INJERTO),1.68
2013-12-30,PAPA AMARILLA,1.88
2013-12-30,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.4
2013-12-30,PAPA HUAMANTANGA,1.3
2013-12-30,PAPA PERUANITA (INJERTO),1.7
2013-12-31,PAPA AMARILLA,1.73
2013-12-31,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2013-12-31,PAPA HUAMANTANGA,1.28
2013-12-31,PAPA PERUANITA (INJERTO),1.51
2014-01-01,PAPA AMARILLA,1.7
2014-01-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.28
2014-01-01,PAPA HUAMANTANGA,1.25
2014-01-01,PAPA PERUANITA (INJERTO),1.5
2014-01-02,PAPA AMARILLA,1.73
2014-01-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2014-01-02,PAPA HUAMANTANGA,1.2
2014-01-02,PAPA PERUANITA (INJERTO),1.51
2014-01-03,PAPA AMARILLA,1.74
2014-01-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2014-01-03,PAPA HUAMANTANGA,1.18
2014-01-03,PAPA PERUANITA (INJERTO),1.61
2014-01-04,PAPA AMARILLA,1.83
2014-01-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.36
2014-01-04,PAPA HUAMANTANGA,1.35
2014-01-04,PAPA PERUANITA (INJERTO),1.64
2014-01-05,PAPA AMARILLA,1.88
2014-01-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.33
2014-01-05,PAPA HUAMANTANGA,1.35
2014-01-05,PAPA PERUANITA (INJERTO),1.6
2014-01-06,PAPA AMARILLA,1.89
2014-01-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.3
2014-01-06,PAPA HUAMANTANGA,1.36
2014-01-06,PAPA PERUANITA (INJERTO),1.55
2014-01-07,PAPA AMARILLA,1.85
2014-01-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.31
2014-01-07,PAPA HUAMANTANGA,1.33
2014-01-07,PAPA PERUANITA (INJERTO),1.55
2014-01-08,PAPA AMARILLA,1.9
2014-01-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.41
2014-01-08,PAPA HUAMANTANGA,1.36
2014-01-08,PAPA PERUANITA (INJERTO),1.61
2014-01-09,PAPA AMARILLA,1.9
2014-01-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.48
2014-01-09,PAPA HUAMANTANGA,1.55
2014-01-09,PAPA PERUANITA (INJERTO),1.69
2014-01-10,PAPA AMARILLA,2.0
2014-01-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.48
2014-01-10,PAPA HUAMANTANGA,1.59
2014-01-10,PAPA PERUANITA (INJERTO),1.9
2014-01-11,PAPA AMARILLA,1.88
2014-01-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.41
2014-01-11,PAPA HUAMANTANGA,1.56
2014-01-11,PAPA PERUANITA (INJERTO),1.7
2014-01-12,PAPA AMARILLA,1.85
2014-01-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2014-01-12,PAPA HUAMANTANGA,1.55
2014-01-12,PAPA PERUANITA (INJERTO),1.64
2014-01-13,PAPA AMARILLA,1.78
2014-01-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.29
