FECHA,TEMPERATURA
2018-01-01,2.0
2018-01-02,1.6624999999999999
2018-01-03,2.254166666666667
2018-01-04,2.6791666666666667
2018-01-05,3.029166666666667
2018-01-06,2.966666666666667
2018-01-07,2.35
2018-01-08,1.5916666666666668
2018-01-09,2.2041666666666666
2018-01-10,2.5500000000000003
2018-01-11,1.9666666666666668
2018-01-12,2.058333333333333
2018-01-13,3.2541666666666664
2018-01-14,3.3874999999999997
2018-01-15,1.4000000000000001
2018-01-16,2.2416666666666667
2018-01-17,4.05625
2018-01-18,2.120833333333333
2018-01-19,2.779166666666667
2018-01-20,2.05
2018-01-21,2.7130434782608694
2018-01-22,2.0375
2018-01-23,2.9499999999999997
2018-01-24,2.85
2018-01-25,1.6291666666666667
2018-01-26,2.983333333333333
2018-01-27,3.8791666666666664
2018-01-28,5.366666666666667
2018-01-29,3.9
2018-01-30,3.5416666666666665
2018-01-31,3.5749999999999997
2018-02-01,4.1000000000000005
2018-02-02,3.8249999999999997
2018-02-03,4.575
2018-02-04,3.391666666666666
2018-02-05,3.3708333333333336
2018-02-06,4.583333333333333
2018-02-07,4.833333333333333
2018-02-08,3.7375000000000003
2018-02-09,2.841666666666667
2018-02-10,3.204166666666667
2018-02-11,1.9791666666666667
2018-02-12,4.1375
2018-02-13,3.3375
2018-02-14,3.2083333333333335
2018-02-15,2.845833333333333
2018-02-16,2.8208333333333333
2018-02-17,2.7624999999999997
2018-02-18,3.529166666666667
2018-02-19,3.526086956521739
2018-02-20,2.0625
2018-02-21,1.8181818181818181
2018-02-22,3.6916666666666664
2018-02-23,3.0041666666666664
2018-02-24,3.0500000000000003
2018-02-25,2.5124999999999997
2018-02-26,2.5749999999999997
2018-02-27,2.370833333333333
2018-02-28,2.3666666666666667
2018-03-01,2.4875
2018-03-02,2.6458333333333335
2018-03-03,2.2875
2018-03-04,2.8083333333333336
2018-03-05,1.9833333333333334
2018-03-06,2.9291666666666667
2018-03-07,3.670833333333333
2018-03-08,3.433333333333333
2018-03-09,3.658333333333333
2018-03-10,3.9625
2018-03-11,4.0874999999999995
2018-03-12,3.3375
2018-03-13,3.466666666666667
2018-03-14,3.0904761904761906
2018-03-15,3.0416666666666665
2018-03-16,4.104166666666667
2018-03-17,3.0090909090909093
2018-03-18,3.716666666666667
2018-03-19,3.2375000000000003
2018-03-20,3.7083333333333335
2018-03-21,3.0833333333333335
2018-03-22,2.983333333333333
2018-03-23,1.861904761904762
2018-03-24,3.079166666666667
2018-03-25,2.245833333333333
2018-03-26,3.15
2018-03-27,3.1791666666666667
2018-03-28,3.3375
2018-03-29,3.0625
2018-03-30,4.279166666666667
2018-03-31,4.233333333333333
2018-04-01,3.5
2018-04-02,3.1833333333333336
2018-04-03,2.7083333333333335
2018-04-04,2.8000000000000003
2018-04-05,2.6875
2018-04-06,3.1
2018-04-07,3.545833333333333
2018-04-08,1.7708333333333333
2018-04-09,1.2041666666666666
2018-04-10,2.3375
2018-04-11,3.7875
2018-04-12,3.1958333333333333
2018-04-13,1.1333333333333333
2018-04-14,1.0625
2018-04-15,1.8416666666666666
2018-04-16,3.029166666666667
2018-04-17,4.779166666666667
2018-04-18,4.5875
2018-04-19,2.8708333333333336
2018-04-20,2.591666666666667
2018-04-21,2.0458333333333334
2018-04-22,2.2708333333333335
2018-04-23,2.5541666666666667
2018-04-24,2.0208333333333335
2018-04-25,1.6458333333333333
2018-04-26,1.7458333333333333
2018-04-27,3.0375
2018-04-28,2.3125
2018-04-29,2.3958333333333335
2018-04-30,2.9499999999999997
2018-05-01,1.2916666666666667
2018-05-02,2.5375
2018-05-03,4.008333333333334
2018-05-04,2.779166666666667
2018-05-05,1.425
2018-05-06,1.6782608695652175
2018-05-07,2.591666666666667
2018-05-08,2.0833333333333335
2018-05-09,2.78695652173913
2018-05-10,4.5249999999999995
2018-05-11,3.525
2018-05-12,3.2624999999999997
2018-05-13,3.875
2018-05-14,3.4416666666666664
2018-05-15,3.704166666666667
2018-05-16,2.5500000000000003
2018-05-17,2.783333333333333
2018-05-18,4.270833333333333
2018-05-19,2.725
2018-05-20,2.225
2018-05-21,3.404166666666667
2018-05-22,3.0875
2018-05-23,2.9250000000000003
2018-05-24,3.4291666666666667
2018-05-25,2.65
2018-05-26,2.5083333333333333
2018-05-27,3.154166666666667
2018-05-28,3.6374999999999997
2018-05-29,4.358333333333333
2018-05-30,4.175
2018-05-31,3.8041666666666667
2018-06-01,2.9125
2018-06-02,1.7708333333333333
2018-06-03,0.8083333333333332
2018-06-04,1.0999999999999999
2018-06-05,2.0708333333333333
2018-06-06,2.654166666666667
2018-06-07,2.5500000000000003
2018-06-08,1.8333333333333333
2018-06-09,2.0375
2018-06-10,1.8833333333333335
2018-06-11,2.5708333333333333
2018-06-12,2.370833333333333
2018-06-13,1.5
2018-06-14,1.7874999999999999
2018-06-15,2.0083333333333333
2018-06-16,0.9625
2018-06-17,1.1500000000000001
2018-06-18,1.2291666666666667
2018-06-19,1.6583333333333332
2018-06-20,2.1583333333333337
2018-06-21,2.25
2018-06-22,2.654166666666667
2018-06-23,3.545833333333333
2018-06-24,2.0291666666666663
2018-06-25,1.1791666666666667
2018-06-26,2.3666666666666667
2018-06-27,2.3916666666666666
2018-06-28,2.8083333333333336
2018-06-29,1.9083333333333334
2018-06-30,2.0500000000000003
2018-07-01,2.7541666666666664
2018-07-02,2.504166666666667
2018-07-03,2.3666666666666667
2018-07-04,1.9708333333333332
2018-07-05,3.170833333333333
2018-07-06,3.1999999999999997
2018-07-07,2.9166666666666665
