dates,producto,precio_mean
2018-01-01,PAPA BLANCA/VALLE/OTROS,0.37
2018-01-01,PAPA COLOR/VALLE/OTROS,0.44
2018-01-01,PAPA NEGRA ANDINA,0.59
2018-01-01,PAPA YUNGAY,0.42
2018-01-01,PAPA UNICA,0.25
2018-01-01,PAPA CANCHAN,0.53
2018-01-02,PAPA BLANCA/VALLE/OTROS,0.35
2018-01-02,PAPA COLOR/VALLE/OTROS,0.4
2018-01-02,PAPA NEGRA ANDINA,0.59
2018-01-02,PAPA YUNGAY,0.45
2018-01-02,PAPA UNICA,0.25
2018-01-02,PAPA CANCHAN,0.55
2018-01-03,PAPA BLANCA/VALLE/OTROS,0.36
2018-01-03,PAPA COLOR/VALLE/OTROS,0.4
2018-01-03,PAPA NEGRA ANDINA,0.63
2018-01-03,PAPA YUNGAY,0.5
2018-01-03,PAPA UNICA,0.25
2018-01-03,PAPA CANCHAN,0.55
2018-01-04,PAPA BLANCA/VALLE/OTROS,0.38
2018-01-04,PAPA COLOR/VALLE/OTROS,0.38
2018-01-04,PAPA NEGRA ANDINA,0.6
2018-01-04,PAPA YUNGAY,0.48
2018-01-04,PAPA UNICA,0.23
2018-01-04,PAPA CANCHAN,0.53
2018-01-05,PAPA BLANCA/VALLE/OTROS,0.38
2018-01-05,PAPA COLOR/VALLE/OTROS,0.35
2018-01-05,PAPA NEGRA ANDINA,0.63
2018-01-05,PAPA YUNGAY,0.46
2018-01-05,PAPA UNICA,0.2
2018-01-05,PAPA CANCHAN,0.51
2018-01-06,PAPA BLANCA/VALLE/OTROS,0.39
2018-01-06,PAPA COLOR/VALLE/OTROS,0.39
2018-01-06,PAPA NEGRA ANDINA,0.63
2018-01-06,PAPA YUNGAY,0.51
2018-01-06,PAPA UNICA,0.22
2018-01-06,PAPA CANCHAN,0.54
2018-01-07,PAPA BLANCA/VALLE/OTROS,0.36
2018-01-07,PAPA COLOR/VALLE/OTROS,0.39
2018-01-07,PAPA NEGRA ANDINA,0.63
2018-01-07,PAPA YUNGAY,0.51
2018-01-07,PAPA UNICA,0.22
2018-01-07,PAPA CANCHAN,0.54
2018-01-08,PAPA BLANCA/VALLE/OTROS,0.46
2018-01-08,PAPA COLOR/VALLE/OTROS,0.4
2018-01-08,PAPA NEGRA ANDINA,0.64
2018-01-08,PAPA YUNGAY,0.5
2018-01-08,PAPA UNICA,0.24
2018-01-08,PAPA CANCHAN,0.54
2018-01-09,PAPA BLANCA/VALLE/OTROS,0.46
2018-01-09,PAPA COLOR/VALLE/OTROS,0.44
2018-01-09,PAPA NEGRA ANDINA,0.71
2018-01-09,PAPA YUNGAY,0.5
2018-01-09,PAPA UNICA,0.33
2018-01-09,PAPA CANCHAN,0.54
2018-01-10,PAPA BLANCA/VALLE/OTROS,0.48
2018-01-10,PAPA COLOR/VALLE/OTROS,0.46
2018-01-10,PAPA NEGRA ANDINA,0.74
2018-01-10,PAPA YUNGAY,0.6
2018-01-10,PAPA UNICA,0.3
2018-01-10,PAPA CANCHAN,0.64
2018-01-11,PAPA BLANCA/VALLE/OTROS,0.48
2018-01-11,PAPA COLOR/VALLE/OTROS,0.41
2018-01-11,PAPA NEGRA ANDINA,0.88
2018-01-11,PAPA YUNGAY,0.6
2018-01-11,PAPA UNICA,0.25
2018-01-11,PAPA CANCHAN,0.59
2018-01-12,PAPA BLANCA/VALLE/OTROS,0.49
2018-01-12,PAPA COLOR/VALLE/OTROS,0.45
