date,cantidad (TM)
2020-12-19,463
2020-12-20,270
2020-12-21,61
2020-12-22,562
2020-12-23,518
2020-12-24,411
2020-12-25,0
2020-12-26,261
2020-12-27,239
2020-12-28,22
2020-12-29,301
2020-12-30,457
2020-12-31,815
2021-01-01,0
2021-01-02,195
2021-01-03,136
2021-01-04,140
2021-01-05,14
2021-01-06,626
2021-01-07,807
2021-01-08,660
2021-01-09,675
2021-01-10,461
2021-01-11,142
2021-01-12,742
2021-01-13,407
2021-01-14,748
2021-01-15,289
2021-01-16,506
2021-01-17,214
2021-01-18,70
2021-01-19,588
2021-01-20,453
2021-01-21,563
2021-01-22,372
2021-01-23,481
2021-01-24,383
2021-01-25,98
2021-01-26,732
2021-01-27,484
2021-01-28,703
2021-01-29,576
2021-01-30,745
2021-01-31,561
2021-02-01,122
2021-02-02,592
2021-02-03,458
2021-02-04,658
2021-02-05,511
2021-02-06,634
2021-02-07,309
2021-02-08,54
2021-02-09,793
2021-02-10,549
2021-02-11,675
2021-02-12,602
2021-02-13,675
2021-02-14,487
2021-02-15,86
2021-02-16,759
2021-02-17,604
2021-02-18,880
2021-02-19,895
2021-02-20,852
2021-02-21,495
2021-02-22,137
2021-02-23,605
2021-02-24,545
2021-02-25,640
2021-02-26,565
2021-02-27,424
2021-02-28,490
2021-03-01,168
2021-03-02,715
2021-03-03,514
2021-03-04,903
2021-03-05,669
2021-03-06,692
2021-03-07,112
2021-03-08,314
2021-03-09,667
2021-03-10,608
2021-03-11,687
2021-03-12,557
2021-03-13,739
2021-03-14,132
2021-03-15,459
2021-03-16,235
2021-03-17,74
2021-03-18,120
2021-03-19,287
2021-03-20,849
2021-03-21,730
2021-03-22,90
2021-03-23,832
2021-03-24,461
2021-03-25,599
2021-03-26,660
2021-03-27,745
2021-03-28,143
2021-03-29,204
2021-03-30,927
2021-03-31,607
2021-04-01,684
2021-04-02,420
2021-04-03,251
2021-04-04,259
2021-04-05,206
2021-04-06,709
2021-04-07,654
2021-04-08,867
2021-04-09,531
2021-04-10,646
2021-04-11,347
2021-04-12,249
2021-04-13,723
2021-04-14,500
2021-04-15,782
2021-04-16,537
2021-04-17,622
2021-04-18,605
2021-04-19,196
2021-04-20,854
2021-04-21,423
2021-04-22,979
2021-04-23,428
2021-04-24,790
2021-04-25,37
2021-04-26,445
2021-04-27,768
2021-04-28,580
2021-04-29,794
2021-04-30,832
2021-05-01,733
2021-05-02,14
2021-05-03,321
2021-05-04,654
2021-05-05,491
2021-05-06,870
2021-05-07,697
2021-05-08,1042
2021-05-09,331
2021-05-10,114
2021-05-11,377
2021-05-12,510
2021-05-13,721
2021-05-14,834
2021-05-15,1039
2021-05-16,518
2021-05-17,217
2021-05-18,767
2021-05-19,621
2021-05-20,912
2021-05-21,520
2021-05-22,709
2021-05-23,321
2021-05-24,165
2021-05-25,621
2021-05-26,462
2021-05-27,580
2021-05-28,625
2021-05-29,732
2021-05-30,613
2021-05-31,273
2021-06-01,701
2021-06-02,516
2021-06-03,898
