date,cantidad (TM)
2018-12-21,20
2018-12-22,56
2018-12-23,6
2018-12-24,0
2018-12-25,0
2018-12-26,0
2018-12-27,17
2018-12-28,0
2018-12-29,0
2018-12-30,0
2018-12-31,11
2019-01-01,0
2019-01-02,0
2019-01-03,20
2019-01-04,2
2019-01-05,158
2019-01-06,1
2019-01-07,16
2019-01-08,0
2019-01-09,140
2019-01-10,0
2019-01-11,0
2019-01-12,66
2019-01-13,183
2019-01-14,0
2019-01-15,72
2019-01-16,1
2019-01-17,79
2019-01-18,61
2019-01-19,28
2019-01-20,5
2019-01-21,0
2019-01-22,34
2019-01-23,40
2019-01-24,48
2019-01-25,27
2019-01-26,8
2019-01-27,35
2019-01-28,30
2019-01-29,156
2019-01-30,0
2019-01-31,0
2019-02-01,39
2019-02-02,0
2019-02-03,16
2019-02-04,37
2019-02-05,31
2019-02-06,0
2019-02-07,57
2019-02-08,26
2019-02-09,47
2019-02-10,0
2019-02-11,0
2019-02-12,19
2019-02-13,20
2019-02-14,0
2019-02-15,35
2019-02-16,49
2019-02-17,0
2019-02-18,0
2019-02-19,18
2019-02-20,23
2019-02-21,1
2019-02-22,0
2019-02-23,5
2019-02-24,0
2019-02-25,0
2019-02-26,12
2019-02-27,24
2019-02-28,0
2019-03-01,0
2019-03-02,0
2019-03-03,0
2019-03-04,0
2019-03-05,19
2019-03-06,0
2019-03-07,1
2019-03-08,1
2019-03-09,12
2019-03-10,0
2019-03-11,0
2019-03-12,78
2019-03-13,21
2019-03-14,1
2019-03-15,20
2019-03-16,0
2019-03-17,0
2019-03-18,0
2019-03-19,21
2019-03-20,53
2019-03-21,25
2019-03-22,0
2019-03-23,18
2019-03-24,95
2019-03-25,1
2019-03-26,20
2019-03-27,0
2019-03-28,17
2019-03-29,43
2019-03-30,0
2019-03-31,16
2019-04-01,0
2019-04-02,35
2019-04-03,0
2019-04-04,0
2019-04-05,23
2019-04-06,0
2019-04-07,0
2019-04-08,21
2019-04-09,17
2019-04-10,0
2019-04-11,0
2019-04-12,21
2019-04-13,39
2019-04-14,67
2019-04-15,17
2019-04-16,1
2019-04-17,0
2019-04-18,0
2019-04-19,0
2019-04-20,39
2019-04-21,27
2019-04-22,0
2019-04-23,24
2019-04-24,0
2019-04-25,32
2019-04-26,17
2019-04-27,17
2019-04-28,0
2019-04-29,0
2019-04-30,21
2019-05-01,34
2019-05-02,0
2019-05-03,16
2019-05-04,12
2019-05-05,0
2019-05-06,1
2019-05-07,12
2019-05-08,1
2019-05-09,0
2019-05-10,33
2019-05-11,45
2019-05-12,0
2019-05-13,0
2019-05-14,18
2019-05-15,0
2019-05-16,4
2019-05-17,0
2019-05-18,34
2019-05-19,9
2019-05-20,0
2019-05-21,37
2019-05-22,3
2019-05-23,14
2019-05-24,0
2019-05-25,57
2019-05-26,0
2019-05-27,0
2019-05-28,0
2019-05-29,0
2019-05-30,9
2019-05-31,23
2019-06-01,31
2019-06-02,29
2019-06-03,0
2019-06-04,29
2019-06-05,18
2019-06-06,1
2019-06-07,37
2019-06-08,11
2019-06-09,21
2019-06-10,0
2019-06-11,0
2019-06-12,21
2019-06-13,0
2019-06-14,0
2019-06-15,44
2019-06-16,0
2019-06-17,0
2019-06-18,0
2019-06-19,0
2019-06-20,19
2019-06-21,31
2019-06-22,13
2019-06-23,13
2019-06-24,1
2019-06-25,39
2019-06-26,30
2019-06-27,0
2019-06-28,16
2019-06-29,29
2019-06-30,65
2019-07-01,0
2019-07-02,0
2019-07-03,34
2019-07-04,30
2019-07-05,20
2019-07-06,0
2019-07-07,4
2019-07-08,16
2019-07-09,12
2019-07-10,0
2019-07-11,7
2019-07-12,1
2019-07-13,0
2019-07-14,1
2019-07-15,0
2019-07-16,14
2019-07-17,58
2019-07-18,0
2019-07-19,0
2019-07-20,17
2019-07-21,39
2019-07-22,13
2019-07-23,0
2019-07-24,30
2019-07-25,11
2019-07-26,17
2019-07-27,17
2019-07-28,0
2019-07-29,37
2019-07-30,23
2019-07-31,0
2019-08-01,14
2019-08-02,14
2019-08-03,21
2019-08-04,16
2019-08-05,40
2019-08-06,66
2019-08-07,0
2019-08-08,52
2019-08-09,8
2019-08-10,7
2019-08-11,16
2019-08-12,0
2019-08-13,0
2019-08-14,0
2019-08-15,54
2019-08-16,22
2019-08-17,0
2019-08-18,0
2019-08-19,0
2019-08-20,0
2019-08-21,4
2019-08-22,27
2019-08-23,0
2019-08-24,16
2019-08-25,0
2019-08-26,0
2019-08-27,1
2019-08-28,15
2019-08-29,35
2019-08-30,0
2019-08-31,0
2019-09-01,9
2019-09-02,0
2019-09-03,66
2019-09-04,2
2019-09-05,18
2019-09-06,41
2019-09-07,38
2019-09-08,0
2019-09-09,0
2019-09-10,72
2019-09-11,10
2019-09-12,34
2019-09-13,9
2019-09-14,8
2019-09-15,0
2019-09-16,0
2019-09-17,21
2019-09-18,0
2019-09-19,7
2019-09-20,24
2019-09-21,19
2019-09-22,36
2019-09-23,0
2019-09-24,0
2019-09-25,0
2019-09-26,28
2019-09-27,74
2019-09-28,7
2019-09-29,0
2019-09-30,0
2019-10-01,54
2019-10-02,0
2019-10-03,18
2019-10-04,27
2019-10-05,22
2019-10-06,0
2019-10-07,0
2019-10-08,9
2019-10-09,1
2019-10-10,16
2019-10-11,0
2019-10-12,39
2019-10-13,19
2019-10-14,0
2019-10-15,32
2019-10-16,0
2019-10-17,64
2019-10-18,7
2019-10-19,10
2019-10-20,27
2019-10-21,0
2019-10-22,22
2019-10-23,15
2019-10-24,29
2019-10-25,20
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,0
2019-10-30,0
2019-10-31,0
2019-11-01,9
2019-11-02,0
2019-11-03,6
2019-11-04,0
2019-11-05,42
2019-11-06,16
2019-11-07,0
2019-11-08,1
2019-11-09,0
2019-11-10,11
2019-11-11,0
2019-11-12,19
2019-11-13,21
2019-11-14,16
2019-11-15,0
2019-11-16,44
2019-11-17,0
2019-11-18,0
2019-11-19,53
2019-11-20,21
2019-11-21,16
2019-11-22,46
2019-11-23,21
2019-11-24,12
2019-11-25,0
2019-11-26,14
2019-11-27,11
2019-11-28,12
2019-11-29,39
2019-11-30,38
2019-12-01,0
2019-12-02,11
2019-12-03,22
2019-12-04,0
2019-12-05,0
2019-12-06,4
2019-12-07,31
2019-12-08,0
2019-12-09,0
2019-12-10,54
2019-12-11,4
2019-12-12,0
2019-12-13,1
2019-12-14,30
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,33
2019-12-22,0
2019-12-23,56
2019-12-24,23
2019-12-25,0
2019-12-26,0
2019-12-27,1
2019-12-28,58
2019-12-29,0
2019-12-30,24
2019-12-31,34
