dates,producto,precio_mean
2013-12-22,PAPA BLANCA/VALLE/OTROS,0.54
2013-12-22,PAPA COLOR/VALLE/OTROS,0.63
2013-12-22,PAPA NEGRA ANDINA,0.75
2013-12-22,PAPA YUNGAY,0.54
2013-12-22,PAPA UNICA,0.53
2013-12-22,PAPA CANCHAN,0.71
2013-12-23,PAPA BLANCA/VALLE/OTROS,0.55
2013-12-23,PAPA COLOR/VALLE/OTROS,0.71
2013-12-23,PAPA NEGRA ANDINA,0.74
2013-12-23,PAPA YUNGAY,0.55
2013-12-23,PAPA UNICA,0.58
2013-12-23,PAPA CANCHAN,0.85
2013-12-24,PAPA BLANCA/VALLE/OTROS,0.54
2013-12-24,PAPA COLOR/VALLE/OTROS,0.67
2013-12-24,PAPA NEGRA ANDINA,0.72
2013-12-24,PAPA YUNGAY,0.5
2013-12-24,PAPA UNICA,0.51
2013-12-24,PAPA CANCHAN,0.83
2013-12-25,PAPA BLANCA/VALLE/OTROS,0.54
2013-12-25,PAPA COLOR/VALLE/OTROS,0.7
2013-12-25,PAPA NEGRA ANDINA,0.73
2013-12-25,PAPA YUNGAY,0.54
2013-12-25,PAPA UNICA,0.55
2013-12-25,PAPA CANCHAN,0.84
2013-12-26,PAPA BLANCA/VALLE/OTROS,0.56
2013-12-26,PAPA COLOR/VALLE/OTROS,0.71
2013-12-26,PAPA NEGRA ANDINA,0.72
2013-12-26,PAPA YUNGAY,0.58
2013-12-26,PAPA UNICA,0.58
2013-12-26,PAPA CANCHAN,0.84
2013-12-27,PAPA BLANCA/VALLE/OTROS,0.56
2013-12-27,PAPA COLOR/VALLE/OTROS,0.7
2013-12-27,PAPA NEGRA ANDINA,0.56
2013-12-27,PAPA YUNGAY,0.57
2013-12-27,PAPA UNICA,0.55
2013-12-27,PAPA CANCHAN,0.85
2013-12-28,PAPA BLANCA/VALLE/OTROS,0.56
2013-12-28,PAPA COLOR/VALLE/OTROS,0.7
2013-12-28,PAPA NEGRA ANDINA,0.7
2013-12-28,PAPA YUNGAY,0.58
2013-12-28,PAPA UNICA,0.58
2013-12-28,PAPA CANCHAN,0.83
2013-12-29,PAPA BLANCA/VALLE/OTROS,0.55
2013-12-29,PAPA COLOR/VALLE/OTROS,0.7
2013-12-29,PAPA NEGRA ANDINA,0.68
2013-12-29,PAPA YUNGAY,0.58
2013-12-29,PAPA UNICA,0.58
2013-12-29,PAPA CANCHAN,0.82
2013-12-30,PAPA BLANCA/VALLE/OTROS,0.56
2013-12-30,PAPA COLOR/VALLE/OTROS,0.7
2013-12-30,PAPA NEGRA ANDINA,0.66
2013-12-30,PAPA YUNGAY,0.58
2013-12-30,PAPA UNICA,0.58
2013-12-30,PAPA CANCHAN,0.81
2013-12-31,PAPA BLANCA/VALLE/OTROS,0.56
2013-12-31,PAPA COLOR/VALLE/OTROS,0.63
2013-12-31,PAPA NEGRA ANDINA,0.59
2013-12-31,PAPA YUNGAY,0.58
2013-12-31,PAPA UNICA,0.56
2013-12-31,PAPA CANCHAN,0.69
2014-01-01,PAPA BLANCA/VALLE/OTROS,0.56
2014-01-01,PAPA COLOR/VALLE/OTROS,0.6
2014-01-01,PAPA NEGRA ANDINA,0.58
2014-01-01,PAPA YUNGAY,0.57
2014-01-01,PAPA UNICA,0.55
2014-01-01,PAPA CANCHAN,0.67
2014-01-02,PAPA BLANCA/VALLE/OTROS,0.53
2014-01-02,PAPA COLOR/VALLE/OTROS,0.59
2014-01-02,PAPA NEGRA ANDINA,0.58
2014-01-02,PAPA YUNGAY,0.56
2014-01-02,PAPA UNICA,0.54
2014-01-02,PAPA CANCHAN,0.64
2014-01-03,PAPA BLANCA/VALLE/OTROS,0.49
2014-01-03,PAPA COLOR/VALLE/OTROS,0.51
2014-01-03,PAPA NEGRA ANDINA,0.59
2014-01-03,PAPA YUNGAY,0.54
2014-01-03,PAPA UNICA,0.46
2014-01-03,PAPA CANCHAN,0.5
2014-01-04,PAPA BLANCA/VALLE/OTROS,0.5
2014-01-04,PAPA COLOR/VALLE/OTROS,0.56
2014-01-04,PAPA NEGRA ANDINA,0.59
2014-01-04,PAPA YUNGAY,0.48
2014-01-04,PAPA UNICA,0.55
2014-01-04,PAPA CANCHAN,0.6
2014-01-05,PAPA BLANCA/VALLE/OTROS,0.53
2014-01-05,PAPA COLOR/VALLE/OTROS,0.53
2014-01-05,PAPA NEGRA ANDINA,0.58
2014-01-05,PAPA YUNGAY,0.52
2014-01-05,PAPA UNICA,0.52
2014-01-05,PAPA CANCHAN,0.59
2014-01-06,PAPA BLANCA/VALLE/OTROS,0.54
2014-01-06,PAPA COLOR/VALLE/OTROS,0.54
2014-01-06,PAPA NEGRA ANDINA,0.59
2014-01-06,PAPA YUNGAY,0.56
2014-01-06,PAPA UNICA,0.5
2014-01-06,PAPA CANCHAN,0.58
2014-01-07,PAPA BLANCA/VALLE/OTROS,0.55
2014-01-07,PAPA COLOR/VALLE/OTROS,0.54
2014-01-07,PAPA NEGRA ANDINA,0.6
2014-01-07,PAPA YUNGAY,0.58
2014-01-07,PAPA UNICA,0.49
2014-01-07,PAPA CANCHAN,0.59
2014-01-08,PAPA BLANCA/VALLE/OTROS,0.54
2014-01-08,PAPA COLOR/VALLE/OTROS,0.55
2014-01-08,PAPA NEGRA ANDINA,0.63
2014-01-08,PAPA YUNGAY,0.61
2014-01-08,PAPA UNICA,0.61
2014-01-08,PAPA CANCHAN,0.51
2014-01-09,PAPA BLANCA/VALLE/OTROS,0.51
2014-01-09,PAPA COLOR/VALLE/OTROS,0.58
2014-01-09,PAPA NEGRA ANDINA,0.65
2014-01-09,PAPA YUNGAY,0.55
2014-01-09,PAPA UNICA,0.64
2014-01-09,PAPA CANCHAN,0.53
2014-01-10,PAPA BLANCA/VALLE/OTROS,0.52
2014-01-10,PAPA COLOR/VALLE/OTROS,0.53
2014-01-10,PAPA NEGRA ANDINA,0.72
2014-01-10,PAPA YUNGAY,0.53
2014-01-10,PAPA UNICA,0.57
2014-01-10,PAPA CANCHAN,0.5
2014-01-11,PAPA BLANCA/VALLE/OTROS,0.5
2014-01-11,PAPA COLOR/VALLE/OTROS,0.55
2014-01-11,PAPA NEGRA ANDINA,0.66
2014-01-11,PAPA YUNGAY,0.58
2014-01-11,PAPA UNICA,0.56
2014-01-11,PAPA CANCHAN,0.51
2014-01-12,PAPA BLANCA/VALLE/OTROS,0.5
2014-01-12,PAPA COLOR/VALLE/OTROS,0.51
2014-01-12,PAPA NEGRA ANDINA,0.67
2014-01-12,PAPA YUNGAY,0.55
2014-01-12,PAPA UNICA,0.52
2014-01-12,PAPA CANCHAN,0.5
