producto,year,month,day,precio_min,precio_max,precio_mean,date
PAPA NEGRA ANDINA,2021,8,20,0.9,1.2,1.05,2021-08-20
PAPA YUNGAY,2021,8,20,0.85,1.1,0.96,2021-08-20
PAPA UNICA,2021,8,20,1.0,1.3,1.15,2021-08-20
PAPA CANCHAN,2021,8,20,1.1,1.25,1.18,2021-08-20
PAPA BLANCA/VALLE/OTROS,2021,8,19,0.85,1.1,0.96,2021-08-19
PAPA COLOR/VALLE/OTROS,2021,8,19,1.1,1.35,1.24,2021-08-19
PAPA NEGRA ANDINA,2021,8,19,0.9,1.2,1.05,2021-08-19
PAPA YUNGAY,2021,8,19,0.85,1.1,0.96,2021-08-19
PAPA UNICA,2021,8,19,1.2,1.35,1.28,2021-08-19
PAPA CANCHAN,2021,8,19,1.1,1.3,1.21,2021-08-19
PAPA BLANCA/VALLE/OTROS,2021,8,18,0.9,1.1,0.99,2021-08-18
PAPA COLOR/VALLE/OTROS,2021,8,18,1.1,1.4,1.28,2021-08-18
PAPA NEGRA ANDINA,2021,8,18,0.9,1.3,1.1,2021-08-18
PAPA YUNGAY,2021,8,18,0.9,1.1,0.99,2021-08-18
PAPA UNICA,2021,8,18,1.2,1.4,1.29,2021-08-18
PAPA CANCHAN,2021,8,18,1.1,1.4,1.25,2021-08-18
PAPA BLANCA/VALLE/OTROS,2021,8,17,0.9,1.1,0.99,2021-08-17
PAPA COLOR/VALLE/OTROS,2021,8,17,1.1,1.4,1.28,2021-08-17
PAPA NEGRA ANDINA,2021,8,17,0.9,1.3,1.1,2021-08-17
PAPA YUNGAY,2021,8,17,0.9,1.1,0.99,2021-08-17
PAPA UNICA,2021,8,17,1.2,1.4,1.29,2021-08-17
PAPA CANCHAN,2021,8,17,1.1,1.4,1.25,2021-08-17
PAPA BLANCA/VALLE/OTROS,2021,8,16,0.8,1.1,0.95,2021-08-16
PAPA COLOR/VALLE/OTROS,2021,8,16,1.1,1.4,1.26,2021-08-16
PAPA NEGRA ANDINA,2021,8,16,1.0,1.3,1.15,2021-08-16
PAPA YUNGAY,2021,8,16,0.8,1.1,0.95,2021-08-16
PAPA UNICA,2021,8,16,1.2,1.35,1.28,2021-08-16
PAPA CANCHAN,2021,8,16,1.1,1.4,1.25,2021-08-16
PAPA BLANCA/VALLE/OTROS,2021,8,15,0.8,1.1,0.95,2021-08-15
PAPA COLOR/VALLE/OTROS,2021,8,15,1.1,1.4,1.26,2021-08-15
PAPA NEGRA ANDINA,2021,8,15,1.2,1.4,1.29,2021-08-15
PAPA YUNGAY,2021,8,15,0.8,1.1,0.95,2021-08-15
PAPA UNICA,2021,8,15,1.2,1.35,1.28,2021-08-15
PAPA CANCHAN,2021,8,15,1.1,1.4,1.25,2021-08-15
PAPA BLANCA/VALLE/OTROS,2021,8,14,0.8,1.1,0.95,2021-08-14
PAPA COLOR/VALLE/OTROS,2021,8,14,1.1,1.4,1.26,2021-08-14
PAPA NEGRA ANDINA,2021,8,14,1.2,1.4,1.29,2021-08-14
PAPA YUNGAY,2021,8,14,0.8,1.1,0.95,2021-08-14
PAPA UNICA,2021,8,14,1.2,1.35,1.28,2021-08-14
PAPA CANCHAN,2021,8,14,1.1,1.4,1.25,2021-08-14
PAPA BLANCA/VALLE/OTROS,2021,8,13,0.9,1.1,0.99,2021-08-13
PAPA COLOR/VALLE/OTROS,2021,8,13,1.1,1.5,1.34,2021-08-13
PAPA NEGRA ANDINA,2021,8,13,1.1,1.3,1.21,2021-08-13
PAPA YUNGAY,2021,8,13,0.9,1.1,0.99,2021-08-13
PAPA UNICA,2021,8,13,1.25,1.5,1.36,2021-08-13
PAPA CANCHAN,2021,8,13,1.1,1.5,1.3,2021-08-13
PAPA BLANCA/VALLE/OTROS,2021,8,12,0.9,1.1,1.01,2021-08-12
PAPA COLOR/VALLE/OTROS,2021,8,12,1.1,1.6,1.38,2021-08-12
PAPA NEGRA ANDINA,2021,8,12,1.1,1.3,1.21,2021-08-12
PAPA YUNGAY,2021,8,12,0.9,1.1,1.0,2021-08-12
PAPA UNICA,2021,8,12,1.3,1.6,1.45,2021-08-12
PAPA CANCHAN,2021,8,12,1.1,1.5,1.3,2021-08-12
PAPA BLANCA/VALLE/OTROS,2021,8,11,0.9,1.1,1.01,2021-08-11
PAPA COLOR/VALLE/OTROS,2021,8,11,1.1,1.6,1.38,2021-08-11
PAPA NEGRA ANDINA,2021,8,11,1.1,1.3,1.21,2021-08-11
PAPA YUNGAY,2021,8,11,0.9,1.1,1.0,2021-08-11
PAPA UNICA,2021,8,11,1.3,1.6,1.45,2021-08-11
PAPA CANCHAN,2021,8,11,1.1,1.5,1.3,2021-08-11
PAPA BLANCA/VALLE/OTROS,2021,8,10,0.9,1.1,1.01,2021-08-10
PAPA COLOR/VALLE/OTROS,2021,8,10,1.1,1.6,1.38,2021-08-10
PAPA NEGRA ANDINA,2021,8,10,1.1,1.3,1.21,2021-08-10
PAPA YUNGAY,2021,8,10,0.9,1.1,1.0,2021-08-10
PAPA UNICA,2021,8,10,1.3,1.6,1.45,2021-08-10
PAPA CANCHAN,2021,8,10,1.1,1.5,1.3,2021-08-10
PAPA BLANCA/VALLE/OTROS,2021,8,9,0.9,1.1,1.01,2021-08-09
PAPA COLOR/VALLE/OTROS,2021,8,9,1.1,1.6,1.38,2021-08-09
PAPA NEGRA ANDINA,2021,8,9,1.1,1.3,1.21,2021-08-09
PAPA YUNGAY,2021,8,9,0.9,1.1,1.0,2021-08-09
PAPA UNICA,2021,8,9,1.3,1.6,1.45,2021-08-09
PAPA CANCHAN,2021,8,9,1.1,1.6,1.33,2021-08-09
PAPA BLANCA/VALLE/OTROS,2021,8,8,0.9,1.1,1.01,2021-08-08
PAPA COLOR/VALLE/OTROS,2021,8,8,1.1,1.6,1.4,2021-08-08
PAPA NEGRA ANDINA,2021,8,8,1.1,1.3,1.21,2021-08-08
PAPA YUNGAY,2021,8,8,0.9,1.1,1.01,2021-08-08
PAPA UNICA,2021,8,8,1.3,1.6,1.45,2021-08-08
PAPA CANCHAN,2021,8,8,1.1,1.6,1.33,2021-08-08
PAPA BLANCA/VALLE/OTROS,2021,8,7,0.9,1.1,1.01,2021-08-07
PAPA COLOR/VALLE/OTROS,2021,8,7,1.1,1.6,1.4,2021-08-07
PAPA NEGRA ANDINA,2021,8,7,1.1,1.3,1.21,2021-08-07
PAPA YUNGAY,2021,8,7,0.9,1.1,1.01,2021-08-07
PAPA UNICA,2021,8,7,1.3,1.6,1.45,2021-08-07
PAPA CANCHAN,2021,8,7,1.1,1.6,1.33,2021-08-07
PAPA BLANCA/VALLE/OTROS,2021,8,6,0.85,1.1,0.98,2021-08-06
PAPA COLOR/VALLE/OTROS,2021,8,6,1.0,1.6,1.38,2021-08-06
PAPA NEGRA ANDINA,2021,8,6,1.1,1.3,1.21,2021-08-06
PAPA YUNGAY,2021,8,6,0.85,1.1,0.98,2021-08-06
PAPA UNICA,2021,8,6,1.4,1.6,1.5,2021-08-06
PAPA CANCHAN,2021,8,6,1.0,1.5,1.28,2021-08-06
PAPA BLANCA/VALLE/OTROS,2021,8,5,0.9,1.05,0.98,2021-08-05
PAPA COLOR/VALLE/OTROS,2021,8,5,1.2,1.5,1.33,2021-08-05
PAPA NEGRA ANDINA,2021,8,5,1.1,1.4,1.25,2021-08-05
PAPA YUNGAY,2021,8,5,0.9,1.0,0.96,2021-08-05
PAPA UNICA,2021,8,5,1.3,1.5,1.41,2021-08-05
PAPA CANCHAN,2021,8,5,1.2,1.45,1.34,2021-08-05
PAPA BLANCA/VALLE/OTROS,2021,8,4,0.9,1.05,0.98,2021-08-04
PAPA COLOR/VALLE/OTROS,2021,8,4,1.2,1.5,1.33,2021-08-04
PAPA NEGRA ANDINA,2021,8,4,1.1,1.4,1.25,2021-08-04
PAPA YUNGAY,2021,8,4,0.9,1.0,0.96,2021-08-04
PAPA UNICA,2021,8,4,1.3,1.5,1.41,2021-08-04
PAPA CANCHAN,2021,8,4,1.2,1.45,1.34,2021-08-04
PAPA BLANCA/VALLE/OTROS,2021,8,3,0.9,1.05,0.98,2021-08-03
PAPA COLOR/VALLE/OTROS,2021,8,3,1.2,1.5,1.33,2021-08-03
PAPA NEGRA ANDINA,2021,8,3,1.0,1.3,1.15,2021-08-03
PAPA YUNGAY,2021,8,3,0.9,1.0,0.96,2021-08-03
PAPA UNICA,2021,8,3,1.3,1.5,1.41,2021-08-03
PAPA CANCHAN,2021,8,3,1.2,1.45,1.34,2021-08-03
PAPA BLANCA/VALLE/OTROS,2021,8,2,0.9,1.05,0.98,2021-08-02
PAPA COLOR/VALLE/OTROS,2021,8,2,1.2,1.5,1.34,2021-08-02
PAPA NEGRA ANDINA,2021,8,2,1.0,1.3,1.15,2021-08-02
PAPA YUNGAY,2021,8,2,0.9,1.05,0.98,2021-08-02
PAPA UNICA,2021,8,2,1.3,1.5,1.41,2021-08-02
PAPA CANCHAN,2021,8,2,1.2,1.45,1.34,2021-08-02
PAPA BLANCA/VALLE/OTROS,2021,8,1,0.9,1.05,0.98,2021-08-01
PAPA COLOR/VALLE/OTROS,2021,8,1,1.2,1.5,1.34,2021-08-01
PAPA NEGRA ANDINA,2021,8,1,1.0,1.3,1.15,2021-08-01
PAPA YUNGAY,2021,8,1,0.9,1.05,0.98,2021-08-01
PAPA UNICA,2021,8,1,1.3,1.5,1.41,2021-08-01
PAPA CANCHAN,2021,8,1,1.2,1.45,1.34,2021-08-01
PAPA BLANCA/VALLE/OTROS,2021,7,31,0.9,1.05,0.98,2021-07-31
PAPA COLOR/VALLE/OTROS,2021,7,31,1.2,1.5,1.34,2021-07-31
PAPA NEGRA ANDINA,2021,7,31,1.0,1.3,1.15,2021-07-31
PAPA YUNGAY,2021,7,31,0.9,1.05,0.98,2021-07-31
PAPA UNICA,2021,7,31,1.3,1.5,1.41,2021-07-31
PAPA CANCHAN,2021,7,31,1.2,1.45,1.34,2021-07-31
PAPA BLANCA/VALLE/OTROS,2021,7,30,0.8,1.0,0.91,2021-07-30
PAPA COLOR/VALLE/OTROS,2021,7,30,1.0,1.5,1.29,2021-07-30
PAPA NEGRA ANDINA,2021,7,30,0.9,1.3,1.1,2021-07-30
PAPA YUNGAY,2021,7,30,0.8,1.0,0.89,2021-07-30
PAPA UNICA,2021,7,30,1.2,1.45,1.31,2021-07-30
PAPA CANCHAN,2021,7,30,1.0,1.4,1.23,2021-07-30
PAPA BLANCA/VALLE/OTROS,2021,7,29,0.8,1.0,0.91,2021-07-29
PAPA COLOR/VALLE/OTROS,2021,7,29,1.0,1.5,1.29,2021-07-29
PAPA NEGRA ANDINA,2021,7,29,0.9,1.3,1.1,2021-07-29
PAPA YUNGAY,2021,7,29,0.8,1.0,0.89,2021-07-29
PAPA UNICA,2021,7,29,1.2,1.45,1.31,2021-07-29
PAPA CANCHAN,2021,7,29,1.0,1.4,1.23,2021-07-29
PAPA BLANCA/VALLE/OTROS,2021,7,28,0.8,1.0,0.91,2021-07-28
PAPA COLOR/VALLE/OTROS,2021,7,28,1.0,1.5,1.29,2021-07-28
PAPA NEGRA ANDINA,2021,7,28,0.9,1.3,1.1,2021-07-28
PAPA YUNGAY,2021,7,28,0.8,1.0,0.89,2021-07-28
PAPA UNICA,2021,7,28,1.2,1.45,1.31,2021-07-28
PAPA CANCHAN,2021,7,28,1.0,1.4,1.23,2021-07-28
PAPA BLANCA/VALLE/OTROS,2021,7,27,0.8,1.0,0.91,2021-07-27
PAPA COLOR/VALLE/OTROS,2021,7,27,1.0,1.5,1.29,2021-07-27
PAPA NEGRA ANDINA,2021,7,27,0.9,1.3,1.1,2021-07-27
PAPA YUNGAY,2021,7,27,0.8,1.0,0.89,2021-07-27
PAPA UNICA,2021,7,27,1.2,1.45,1.31,2021-07-27
PAPA CANCHAN,2021,7,27,1.0,1.4,1.23,2021-07-27
PAPA BLANCA/VALLE/OTROS,2021,7,26,0.8,1.05,0.94,2021-07-26
PAPA COLOR/VALLE/OTROS,2021,7,26,1.0,1.5,1.29,2021-07-26
PAPA NEGRA ANDINA,2021,7,26,0.9,1.3,1.1,2021-07-26
PAPA YUNGAY,2021,7,26,0.8,1.0,0.89,2021-07-26
PAPA UNICA,2021,7,26,1.2,1.45,1.33,2021-07-26
PAPA CANCHAN,2021,7,26,1.0,1.5,1.28,2021-07-26
PAPA BLANCA/VALLE/OTROS,2021,7,25,0.8,1.05,0.94,2021-07-25
PAPA COLOR/VALLE/OTROS,2021,7,25,1.0,1.5,1.29,2021-07-25
PAPA NEGRA ANDINA,2021,7,25,0.9,1.3,1.1,2021-07-25
PAPA YUNGAY,2021,7,25,0.8,1.05,0.94,2021-07-25
PAPA UNICA,2021,7,25,1.2,1.45,1.33,2021-07-25
PAPA CANCHAN,2021,7,25,1.0,1.5,1.28,2021-07-25
PAPA BLANCA/VALLE/OTROS,2021,7,24,0.8,1.05,0.94,2021-07-24
PAPA COLOR/VALLE/OTROS,2021,7,24,1.0,1.5,1.29,2021-07-24
PAPA NEGRA ANDINA,2021,7,24,0.9,1.3,1.1,2021-07-24
PAPA YUNGAY,2021,7,24,0.8,1.05,0.94,2021-07-24
PAPA UNICA,2021,7,24,1.2,1.45,1.33,2021-07-24
PAPA CANCHAN,2021,7,24,1.0,1.5,1.28,2021-07-24
PAPA BLANCA/VALLE/OTROS,2021,7,23,0.8,1.05,0.94,2021-07-23
PAPA COLOR/VALLE/OTROS,2021,7,23,1.0,1.55,1.33,2021-07-23
PAPA NEGRA ANDINA,2021,7,23,0.9,1.3,1.1,2021-07-23
PAPA YUNGAY,2021,7,23,0.8,1.05,0.94,2021-07-23
PAPA UNICA,2021,7,23,1.3,1.45,1.38,2021-07-23
PAPA CANCHAN,2021,7,23,1.0,1.55,1.29,2021-07-23
PAPA BLANCA/VALLE/OTROS,2021,7,22,0.85,1.0,0.93,2021-07-22
PAPA COLOR/VALLE/OTROS,2021,7,22,1.0,1.5,1.28,2021-07-22
PAPA NEGRA ANDINA,2021,7,22,1.2,1.4,1.31,2021-07-22
PAPA YUNGAY,2021,7,22,0.85,1.0,0.93,2021-07-22
PAPA UNICA,2021,7,22,1.2,1.55,1.39,2021-07-22
PAPA CANCHAN,2021,7,22,1.0,1.5,1.28,2021-07-22
PAPA BLANCA/VALLE/OTROS,2021,7,21,0.85,1.0,0.93,2021-07-21
PAPA COLOR/VALLE/OTROS,2021,7,21,1.0,1.5,1.28,2021-07-21
PAPA NEGRA ANDINA,2021,7,21,1.2,1.4,1.31,2021-07-21
PAPA YUNGAY,2021,7,21,0.85,1.0,0.93,2021-07-21
PAPA UNICA,2021,7,21,1.2,1.55,1.39,2021-07-21
PAPA CANCHAN,2021,7,21,1.0,1.5,1.28,2021-07-21
PAPA BLANCA/VALLE/OTROS,2021,7,20,0.85,1.0,0.93,2021-07-20
PAPA COLOR/VALLE/OTROS,2021,7,20,1.0,1.5,1.29,2021-07-20
PAPA NEGRA ANDINA,2021,7,20,1.25,1.4,1.33,2021-07-20
PAPA YUNGAY,2021,7,20,0.85,1.05,0.95,2021-07-20
PAPA UNICA,2021,7,20,1.2,1.55,1.39,2021-07-20
PAPA CANCHAN,2021,7,20,1.0,1.5,1.28,2021-07-20
PAPA BLANCA/VALLE/OTROS,2021,7,19,0.85,1.05,0.95,2021-07-19
PAPA COLOR/VALLE/OTROS,2021,7,19,1.0,1.6,1.34,2021-07-19
PAPA NEGRA ANDINA,2021,7,19,1.25,1.4,1.33,2021-07-19
PAPA YUNGAY,2021,7,19,0.85,1.05,0.95,2021-07-19
PAPA UNICA,2021,7,19,1.2,1.55,1.39,2021-07-19
PAPA CANCHAN,2021,7,19,1.0,1.5,1.28,2021-07-19
PAPA BLANCA/VALLE/OTROS,2021,7,18,0.85,1.05,0.95,2021-07-18
PAPA COLOR/VALLE/OTROS,2021,7,18,1.0,1.6,1.34,2021-07-18
PAPA NEGRA ANDINA,2021,7,18,1.25,1.4,1.33,2021-07-18
PAPA YUNGAY,2021,7,18,0.85,1.05,0.95,2021-07-18
PAPA UNICA,2021,7,18,1.2,1.55,1.39,2021-07-18
PAPA CANCHAN,2021,7,18,1.0,1.6,1.3,2021-07-18
PAPA BLANCA/VALLE/OTROS,2021,7,17,0.85,1.05,0.95,2021-07-17
PAPA COLOR/VALLE/OTROS,2021,7,17,1.0,1.6,1.34,2021-07-17
PAPA NEGRA ANDINA,2021,7,17,1.25,1.4,1.33,2021-07-17
PAPA YUNGAY,2021,7,17,0.85,1.05,0.95,2021-07-17
PAPA UNICA,2021,7,17,1.2,1.55,1.39,2021-07-17
PAPA CANCHAN,2021,7,17,1.0,1.6,1.3,2021-07-17
PAPA BLANCA/VALLE/OTROS,2021,7,16,0.85,1.05,0.95,2021-07-16
PAPA COLOR/VALLE/OTROS,2021,7,16,1.1,1.5,1.29,2021-07-16
PAPA NEGRA ANDINA,2021,7,16,1.25,1.4,1.33,2021-07-16
PAPA YUNGAY,2021,7,16,0.85,1.05,0.95,2021-07-16
PAPA UNICA,2021,7,16,1.2,1.35,1.28,2021-07-16
PAPA CANCHAN,2021,7,16,1.1,1.5,1.3,2021-07-16
PAPA BLANCA/VALLE/OTROS,2021,7,15,0.9,1.05,0.98,2021-07-15
PAPA COLOR/VALLE/OTROS,2021,7,15,1.2,1.6,1.43,2021-07-15
PAPA NEGRA ANDINA,2021,7,15,1.25,1.4,1.33,2021-07-15
PAPA YUNGAY,2021,7,15,0.9,1.0,0.96,2021-07-15
PAPA UNICA,2021,7,15,1.4,1.7,1.55,2021-07-15
PAPA CANCHAN,2021,7,15,1.2,1.55,1.41,2021-07-15
PAPA BLANCA/VALLE/OTROS,2021,7,14,0.9,1.05,0.98,2021-07-14
PAPA COLOR/VALLE/OTROS,2021,7,14,1.2,1.6,1.43,2021-07-14
PAPA NEGRA ANDINA,2021,7,14,1.25,1.4,1.33,2021-07-14
PAPA YUNGAY,2021,7,14,0.9,1.0,0.96,2021-07-14
PAPA UNICA,2021,7,14,1.4,1.7,1.55,2021-07-14
PAPA CANCHAN,2021,7,14,1.2,1.55,1.41,2021-07-14
PAPA BLANCA/VALLE/OTROS,2021,7,13,0.9,1.05,0.98,2021-07-13
PAPA COLOR/VALLE/OTROS,2021,7,13,1.2,1.7,1.48,2021-07-13
PAPA NEGRA ANDINA,2021,7,13,1.3,1.4,1.34,2021-07-13
PAPA YUNGAY,2021,7,13,0.9,1.05,0.98,2021-07-13
PAPA UNICA,2021,7,13,1.4,1.7,1.55,2021-07-13
PAPA CANCHAN,2021,7,13,1.2,1.6,1.43,2021-07-13
PAPA BLANCA/VALLE/OTROS,2021,7,12,0.9,1.05,0.98,2021-07-12
PAPA COLOR/VALLE/OTROS,2021,7,12,1.2,1.7,1.48,2021-07-12
PAPA NEGRA ANDINA,2021,7,12,1.3,1.4,1.34,2021-07-12
PAPA YUNGAY,2021,7,12,0.9,1.05,0.98,2021-07-12
PAPA UNICA,2021,7,12,1.4,1.7,1.56,2021-07-12
PAPA CANCHAN,2021,7,12,1.2,1.6,1.43,2021-07-12
PAPA BLANCA/VALLE/OTROS,2021,7,11,0.9,1.05,0.98,2021-07-11
PAPA COLOR/VALLE/OTROS,2021,7,11,1.2,1.7,1.48,2021-07-11
PAPA NEGRA ANDINA,2021,7,11,1.3,1.4,1.34,2021-07-11
PAPA YUNGAY,2021,7,11,0.9,1.05,0.98,2021-07-11
PAPA UNICA,2021,7,11,1.4,1.7,1.56,2021-07-11
PAPA CANCHAN,2021,7,11,1.2,1.6,1.43,2021-07-11
PAPA BLANCA/VALLE/OTROS,2021,7,10,0.9,1.05,0.98,2021-07-10
PAPA COLOR/VALLE/OTROS,2021,7,10,1.2,1.7,1.48,2021-07-10
PAPA NEGRA ANDINA,2021,7,10,1.3,1.4,1.34,2021-07-10
PAPA YUNGAY,2021,7,10,0.9,1.05,0.98,2021-07-10
PAPA UNICA,2021,7,10,1.4,1.7,1.56,2021-07-10
PAPA CANCHAN,2021,7,10,1.2,1.6,1.43,2021-07-10
PAPA BLANCA/VALLE/OTROS,2021,7,9,0.8,1.05,0.94,2021-07-09
PAPA COLOR/VALLE/OTROS,2021,7,9,1.2,1.8,1.45,2021-07-09
PAPA NEGRA ANDINA,2021,7,9,1.3,1.4,1.34,2021-07-09
PAPA YUNGAY,2021,7,9,0.8,1.05,0.94,2021-07-09
PAPA UNICA,2021,7,9,1.3,1.8,1.58,2021-07-09
PAPA CANCHAN,2021,7,9,1.2,1.5,1.35,2021-07-09
PAPA BLANCA/VALLE/OTROS,2021,7,8,0.8,1.05,0.94,2021-07-08
PAPA COLOR/VALLE/OTROS,2021,7,8,1.2,1.8,1.53,2021-07-08
PAPA NEGRA ANDINA,2021,7,8,1.25,1.4,1.33,2021-07-08
PAPA YUNGAY,2021,7,8,0.8,1.05,0.94,2021-07-08
PAPA UNICA,2021,7,8,1.6,1.9,1.75,2021-07-08
PAPA CANCHAN,2021,7,8,1.2,1.6,1.43,2021-07-08
PAPA BLANCA/VALLE/OTROS,2021,7,7,0.8,1.05,0.94,2021-07-07
PAPA COLOR/VALLE/OTROS,2021,7,7,1.2,1.8,1.53,2021-07-07
PAPA NEGRA ANDINA,2021,7,7,1.25,1.4,1.33,2021-07-07
PAPA YUNGAY,2021,7,7,0.8,1.05,0.94,2021-07-07
PAPA UNICA,2021,7,7,1.6,1.9,1.75,2021-07-07
PAPA CANCHAN,2021,7,7,1.2,1.6,1.43,2021-07-07
PAPA BLANCA/VALLE/OTROS,2021,7,6,0.8,1.05,0.94,2021-07-06
PAPA COLOR/VALLE/OTROS,2021,7,6,1.2,1.9,1.58,2021-07-06
PAPA NEGRA ANDINA,2021,7,6,1.25,1.4,1.33,2021-07-06
PAPA YUNGAY,2021,7,6,0.8,1.05,0.94,2021-07-06
PAPA UNICA,2021,7,6,1.6,1.9,1.75,2021-07-06
PAPA CANCHAN,2021,7,6,1.2,1.6,1.43,2021-07-06
PAPA BLANCA/VALLE/OTROS,2021,7,5,0.8,1.05,0.94,2021-07-05
PAPA COLOR/VALLE/OTROS,2021,7,5,1.2,1.9,1.58,2021-07-05
PAPA NEGRA ANDINA,2021,7,5,1.25,1.4,1.33,2021-07-05
PAPA YUNGAY,2021,7,5,0.8,1.05,0.94,2021-07-05
PAPA UNICA,2021,7,5,1.6,1.9,1.75,2021-07-05
PAPA CANCHAN,2021,7,5,1.2,1.6,1.43,2021-07-05
PAPA BLANCA/VALLE/OTROS,2021,7,4,0.8,1.0,0.91,2021-07-04
PAPA COLOR/VALLE/OTROS,2021,7,4,1.2,2.05,1.6,2021-07-04
PAPA NEGRA ANDINA,2021,7,4,1.25,1.4,1.33,2021-07-04
PAPA YUNGAY,2021,7,4,0.8,1.0,0.91,2021-07-04
PAPA UNICA,2021,7,4,1.55,2.05,1.8,2021-07-04
PAPA CANCHAN,2021,7,4,1.2,1.6,1.43,2021-07-04
PAPA BLANCA/VALLE/OTROS,2021,7,3,0.8,1.0,0.91,2021-07-03
PAPA COLOR/VALLE/OTROS,2021,7,3,1.2,2.05,1.6,2021-07-03
PAPA NEGRA ANDINA,2021,7,3,1.25,1.4,1.33,2021-07-03
PAPA YUNGAY,2021,7,3,0.8,1.0,0.91,2021-07-03
PAPA UNICA,2021,7,3,1.55,2.05,1.8,2021-07-03
PAPA CANCHAN,2021,7,3,1.2,1.6,1.43,2021-07-03
PAPA BLANCA/VALLE/OTROS,2021,7,2,0.8,1.0,0.91,2021-07-02
PAPA COLOR/VALLE/OTROS,2021,7,2,1.2,1.8,1.53,2021-07-02
PAPA NEGRA ANDINA,2021,7,2,1.1,1.35,1.24,2021-07-02
PAPA YUNGAY,2021,7,2,0.75,1.0,0.88,2021-07-02
PAPA UNICA,2021,7,2,1.4,1.8,1.6,2021-07-02
PAPA CANCHAN,2021,7,2,1.2,1.6,1.43,2021-07-02
PAPA BLANCA/VALLE/OTROS,2021,7,1,0.8,1.0,0.91,2021-07-01
PAPA COLOR/VALLE/OTROS,2021,7,1,1.2,1.8,1.53,2021-07-01
PAPA NEGRA ANDINA,2021,7,1,1.1,1.35,1.24,2021-07-01
PAPA YUNGAY,2021,7,1,0.75,1.0,0.88,2021-07-01
PAPA UNICA,2021,7,1,1.4,1.8,1.6,2021-07-01
PAPA CANCHAN,2021,7,1,1.2,1.6,1.43,2021-07-01
PAPA BLANCA/VALLE/OTROS,2021,6,30,0.8,1.0,0.91,2021-06-30
PAPA COLOR/VALLE/OTROS,2021,6,30,1.2,1.8,1.53,2021-06-30
PAPA NEGRA ANDINA,2021,6,30,1.1,1.35,1.24,2021-06-30
PAPA YUNGAY,2021,6,30,0.75,1.0,0.88,2021-06-30
PAPA UNICA,2021,6,30,1.4,1.8,1.6,2021-06-30
PAPA CANCHAN,2021,6,30,1.2,1.6,1.43,2021-06-30
PAPA BLANCA/VALLE/OTROS,2021,6,29,0.8,1.0,0.91,2021-06-29
PAPA COLOR/VALLE/OTROS,2021,6,29,1.2,1.8,1.53,2021-06-29
PAPA NEGRA ANDINA,2021,6,29,1.1,1.35,1.24,2021-06-29
PAPA YUNGAY,2021,6,29,0.75,1.0,0.88,2021-06-29
PAPA UNICA,2021,6,29,1.4,1.8,1.6,2021-06-29
PAPA CANCHAN,2021,6,29,1.2,1.7,1.45,2021-06-29
PAPA BLANCA/VALLE/OTROS,2021,6,28,0.8,1.0,0.91,2021-06-28
PAPA COLOR/VALLE/OTROS,2021,6,28,1.2,1.8,1.53,2021-06-28
PAPA NEGRA ANDINA,2021,6,28,1.1,1.35,1.24,2021-06-28
PAPA YUNGAY,2021,6,28,0.8,1.0,0.89,2021-06-28
PAPA UNICA,2021,6,28,1.4,1.8,1.6,2021-06-28
PAPA CANCHAN,2021,6,28,1.2,1.7,1.45,2021-06-28
PAPA BLANCA/VALLE/OTROS,2021,6,27,0.8,1.0,0.91,2021-06-27
PAPA COLOR/VALLE/OTROS,2021,6,27,1.2,1.8,1.53,2021-06-27
PAPA NEGRA ANDINA,2021,6,27,1.1,1.35,1.24,2021-06-27
PAPA YUNGAY,2021,6,27,0.8,1.0,0.89,2021-06-27
PAPA UNICA,2021,6,27,1.4,1.8,1.6,2021-06-27
PAPA CANCHAN,2021,6,27,1.2,1.7,1.45,2021-06-27
PAPA BLANCA/VALLE/OTROS,2021,6,26,0.8,1.0,0.91,2021-06-26
PAPA COLOR/VALLE/OTROS,2021,6,26,1.2,1.8,1.53,2021-06-26
PAPA NEGRA ANDINA,2021,6,26,1.1,1.35,1.24,2021-06-26
PAPA YUNGAY,2021,6,26,0.8,1.0,0.89,2021-06-26
PAPA UNICA,2021,6,26,1.4,1.8,1.6,2021-06-26
PAPA CANCHAN,2021,6,26,1.2,1.7,1.45,2021-06-26
PAPA BLANCA/VALLE/OTROS,2021,6,25,0.8,1.0,0.91,2021-06-25
PAPA COLOR/VALLE/OTROS,2021,6,25,1.2,1.8,1.53,2021-06-25
PAPA NEGRA ANDINA,2021,6,25,1.1,1.35,1.24,2021-06-25
PAPA YUNGAY,2021,6,25,0.8,1.0,0.89,2021-06-25
PAPA UNICA,2021,6,25,1.4,1.8,1.6,2021-06-25
PAPA CANCHAN,2021,6,25,1.2,1.7,1.45,2021-06-25
PAPA BLANCA/VALLE/OTROS,2021,6,24,0.8,0.95,0.88,2021-06-24
PAPA COLOR/VALLE/OTROS,2021,6,24,1.3,1.7,1.53,2021-06-24
PAPA NEGRA ANDINA,2021,6,24,1.1,1.3,1.19,2021-06-24
PAPA YUNGAY,2021,6,24,0.8,0.95,0.88,2021-06-24
PAPA UNICA,2021,6,24,1.5,1.7,1.59,2021-06-24
PAPA CANCHAN,2021,6,24,1.3,1.6,1.45,2021-06-24
PAPA BLANCA/VALLE/OTROS,2021,6,23,0.8,0.95,0.88,2021-06-23
