producto,year,month,day,precio_min,precio_max,precio_mean,date
PAPA BLANCA/VALLE/OTROS,2022,5,14,1.3,1.6,1.45,2022-05-14
PAPA COLOR/VALLE/OTROS,2022,5,14,1.5,1.8,1.65,2022-05-14
PAPA NEGRA ANDINA,2022,5,14,1.4,1.7,1.55,2022-05-14
PAPA YUNGAY,2022,5,14,1.3,1.6,1.45,2022-05-14
PAPA UNICA,2022,5,14,1.4,1.6,1.5,2022-05-14
PAPA CANCHAN,2022,5,14,1.3,1.6,1.45,2022-05-14
PAPA BLANCA/VALLE/OTROS,2022,5,15,1.3,1.6,1.45,2022-05-15
PAPA COLOR/VALLE/OTROS,2022,5,15,1.5,1.8,1.65,2022-05-15
PAPA NEGRA ANDINA,2022,5,15,1.4,1.7,1.55,2022-05-15
PAPA YUNGAY,2022,5,15,1.3,1.6,1.45,2022-05-15
PAPA UNICA,2022,5,15,1.4,1.6,1.5,2022-05-15
PAPA CANCHAN,2022,5,15,1.3,1.6,1.45,2022-05-15
PAPA BLANCA/VALLE/OTROS,2022,5,16,1.3,1.7,1.48,2022-05-16
PAPA COLOR/VALLE/OTROS,2022,5,16,1.5,1.8,1.65,2022-05-16
PAPA NEGRA ANDINA,2022,5,16,1.4,1.8,1.58,2022-05-16
PAPA YUNGAY,2022,5,16,1.4,1.7,1.55,2022-05-16
PAPA UNICA,2022,5,16,1.4,1.7,1.55,2022-05-16
PAPA CANCHAN,2022,5,16,1.4,1.6,1.5,2022-05-16
PAPA BLANCA/VALLE/OTROS,2022,5,17,1.3,1.8,1.5,2022-05-17
PAPA COLOR/VALLE/OTROS,2022,5,17,1.5,1.8,1.65,2022-05-17
PAPA NEGRA ANDINA,2022,5,17,1.4,1.8,1.58,2022-05-17
PAPA YUNGAY,2022,5,17,1.4,1.8,1.6,2022-05-17
PAPA UNICA,2022,5,17,1.4,1.7,1.55,2022-05-17
PAPA CANCHAN,2022,5,17,1.4,1.7,1.55,2022-05-17
PAPA BLANCA/VALLE/OTROS,2022,5,18,1.3,1.8,1.5,2022-05-18
PAPA COLOR/VALLE/OTROS,2022,5,18,1.5,1.8,1.65,2022-05-18
PAPA NEGRA ANDINA,2022,5,18,1.4,1.8,1.6,2022-05-18
PAPA YUNGAY,2022,5,18,1.4,1.8,1.6,2022-05-18
PAPA UNICA,2022,5,18,1.4,1.7,1.55,2022-05-18
PAPA CANCHAN,2022,5,18,1.4,1.7,1.55,2022-05-18
PAPA BLANCA/VALLE/OTROS,2022,5,19,1.4,1.8,1.58,2022-05-19
PAPA COLOR/VALLE/OTROS,2022,5,19,1.5,1.8,1.65,2022-05-19
PAPA NEGRA ANDINA,2022,5,19,1.4,1.8,1.6,2022-05-19
PAPA YUNGAY,2022,5,19,1.4,1.8,1.6,2022-05-19
PAPA UNICA,2022,5,19,1.4,1.7,1.55,2022-05-19
PAPA CANCHAN,2022,5,19,1.4,1.7,1.55,2022-05-19
