producto,date,precio_mean
PAPA HUAMANTANGA,2014-11,0.8893333333333333
PAPA HUAMANTANGA,2014-12,1.1351612903225805
PAPA HUAMANTANGA,2015-01,1.1663333333333334
PAPA HUAMANTANGA,2015-02,1.0507142857142857
PAPA HUAMANTANGA,2015-03,1.1125806451612903
PAPA HUAMANTANGA,2015-04,1.066
PAPA HUAMANTANGA,2015-05,1.0748387096774195
PAPA HUAMANTANGA,2015-06,0.9600000000000001
PAPA HUAMANTANGA,2015-07,1.0796774193548386
PAPA HUAMANTANGA,2015-08,1.1303225806451613
PAPA HUAMANTANGA,2015-09,1.6623333333333332
PAPA HUAMANTANGA,2015-10,1.975483870967742
PAPA HUAMANTANGA,2015-11,2.2064285714285714
PAPA HUAMANTANGA,2015-12,1.7545161290322582
PAPA HUAMANTANGA,2016-01,1.6141935483870968
PAPA HUAMANTANGA,2016-02,1.4324137931034482
PAPA HUAMANTANGA,2016-03,1.1583870967741934
PAPA HUAMANTANGA,2016-04,1.095
PAPA HUAMANTANGA,2016-05,1.086774193548387
PAPA HUAMANTANGA,2016-06,1.2049999999999998
PAPA HUAMANTANGA,2016-07,1.634516129032258
PAPA HUAMANTANGA,2016-08,1.8158333333333332
PAPA HUAMANTANGA,2016-09,2.573928571428571
PAPA HUAMANTANGA,2016-10,2.1393333333333335
PAPA HUAMANTANGA,2016-11,2.312962962962963
PAPA HUAMANTANGA,2016-12,1.8403225806451613
PAPA HUAMANTANGA,2017-01,1.3338709677419356
PAPA HUAMANTANGA,2017-02,1.3360714285714284
PAPA HUAMANTANGA,2017-03,1.3174193548387096
PAPA HUAMANTANGA,2017-04,1.207
PAPA HUAMANTANGA,2017-05,1.229032258064516
PAPA HUAMANTANGA,2017-06,1.1320000000000001
PAPA HUAMANTANGA,2017-07,1.3880645161290324
PAPA HUAMANTANGA,2017-08,1.3006451612903225
PAPA HUAMANTANGA,2017-09,1.262
PAPA HUAMANTANGA,2017-10,1.134516129032258
PAPA HUAMANTANGA,2017-11,1.0153333333333334
PAPA HUAMANTANGA,2017-12,0.9551612903225807
PAPA HUAMANTANGA,2018-01,1.3377419354838709
PAPA HUAMANTANGA,2018-02,1.1467857142857143
PAPA HUAMANTANGA,2018-03,0.957741935483871
PAPA HUAMANTANGA,2018-04,0.9333333333333333
PAPA HUAMANTANGA,2018-05,0.9987096774193549
PAPA HUAMANTANGA,2018-06,1.1
PAPA HUAMANTANGA,2018-07,1.1051612903225805
PAPA HUAMANTANGA,2018-08,1.2174193548387098
PAPA HUAMANTANGA,2018-09,1.1323333333333332
PAPA HUAMANTANGA,2018-10,1.4970967741935484
PAPA HUAMANTANGA,2018-11,1.62
PAPA HUAMANTANGA,2018-12,2.301612903225806
PAPA HUAMANTANGA,2019-01,2.0158064516129035
PAPA HUAMANTANGA,2019-02,1.4507142857142856
PAPA HUAMANTANGA,2019-03,1.4564516129032257
PAPA HUAMANTANGA,2019-04,1.451
PAPA HUAMANTANGA,2019-05,1.4038709677419356
PAPA HUAMANTANGA,2019-06,1.5616666666666668
PAPA HUAMANTANGA,2019-07,1.6099999999999999
PAPA HUAMANTANGA,2019-08,1.3567741935483872
PAPA HUAMANTANGA,2019-09,1.7833333333333334
PAPA HUAMANTANGA,2019-10,1.5990322580645162
PAPA HUAMANTANGA,2019-11,2.145
PAPA HUAMANTANGA,2019-12,1.891290322580645
PAPA HUAMANTANGA,2020-01,1.1522580645161289
PAPA HUAMANTANGA,2020-02,0.9282758620689655
PAPA HUAMANTANGA,2020-03,0.99
PAPA HUAMANTANGA,2020-04,0.9420833333333333
PAPA HUAMANTANGA,2020-05,0.9284615384615384
PAPA HUAMANTANGA,2020-06,0.8703846153846153
PAPA HUAMANTANGA,2020-07,1.1103225806451613
PAPA HUAMANTANGA,2020-08,1.3178571428571428
PAPA HUAMANTANGA,2020-09,1.6282142857142858
PAPA HUAMANTANGA,2020-10,1.6458064516129034
PAPA HUAMANTANGA,2020-11,1.631
PAPA HUAMANTANGA,2020-12,1.3912903225806452
PAPA HUAMANTANGA,2021-01,1.4038709677419354
PAPA HUAMANTANGA,2021-02,1.3596428571428572
PAPA HUAMANTANGA,2021-03,1.4751612903225808
PAPA HUAMANTANGA,2021-04,1.4386666666666665
PAPA HUAMANTANGA,2021-05,1.3725806451612905
PAPA HUAMANTANGA,2021-06,1.5196666666666667
PAPA HUAMANTANGA,2021-07,1.6361290322580644
PAPA HUAMANTANGA,2021-08,1.564516129032258
PAPA HUAMANTANGA,2021-09,1.4506666666666668
PAPA HUAMANTANGA,2021-10,1.153225806451613
PAPA HUAMANTANGA,2021-11,1.2406666666666666
PAPA HUAMANTANGA,2021-12,1.3503225806451613
PAPA HUAMANTANGA,2022-01,1.3758064516129034
PAPA HUAMANTANGA,2022-02,1.8262962962962963
PAPA HUAMANTANGA,2022-03,1.5393548387096774
PAPA HUAMANTANGA,2022-04,1.7626666666666668
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2013-12,1.4141935483870967
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-01,1.2832258064516129
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-02,1.1824999999999999
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-03,1.1648387096774193
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-04,1.1603333333333334
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-05,1.1016129032258064
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-06,1.0383333333333333
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-07,1.0612903225806452
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-08,0.9770967741935483
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-09,0.8083333333333333
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-10,0.8419354838709678
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-11,0.885
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2014-12,1.3945161290322579
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-01,1.4209677419354838
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-02,1.0746428571428572
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-03,1.0806451612903225
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-04,0.8816666666666666
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-05,0.9051612903225806
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-06,0.8043333333333333
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-07,0.8535483870967743
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-08,0.8290322580645161
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-09,1.0623333333333334
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-10,1.5229032258064517
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-11,2.2453333333333334
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2015-12,1.9270967741935485
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-01,1.4270967741935485
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-02,1.2317241379310344
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-03,0.9803225806451613
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-04,0.9083333333333333
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-05,1.0716129032258064
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-06,1.0543333333333333
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-07,1.3558064516129034
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-08,1.4806451612903226
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-09,1.954
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-10,2.240322580645161
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-11,2.4473333333333334
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2016-12,1.831290322580645
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2017-01,1.1706451612903226
