date,cantidad (TM)
2015-01-01,0
2015-01-02,637
2015-01-03,1008
2015-01-04,1170
2015-01-05,806
2015-01-06,1930
2015-01-07,1504
2015-01-08,1522
2015-01-09,1858
2015-01-10,2224
2015-01-11,1529
2015-01-12,721
2015-01-13,1553
2015-01-14,1331
2015-01-15,1582
2015-01-16,1708
2015-01-17,1945
2015-01-18,1440
2015-01-19,482
2015-01-20,2150
2015-01-21,984
2015-01-22,1054
2015-01-23,1291
2015-01-24,1379
2015-01-25,1436
2015-01-26,672
2015-01-27,1489
2015-01-28,808
2015-01-29,1321
2015-01-30,1778
2015-01-31,3047
2015-02-01,1247
2015-02-02,569
2015-02-03,1952
2015-02-04,1282
2015-02-05,1688
2015-02-06,1753
2015-02-07,2111
2015-02-08,1325
2015-02-09,403
2015-02-10,1713
2015-02-11,964
2015-02-12,1382
2015-02-13,1600
2015-02-14,1880
2015-02-15,1308
2015-02-16,389
2015-02-17,1382
2015-02-18,1081
2015-02-19,1737
2015-02-20,1912
2015-02-21,2237
2015-02-22,1533
2015-02-23,596
2015-02-24,1911
2015-02-25,1238
2015-02-26,1079
2015-02-27,1886
2015-02-28,3093
2015-03-01,478
2015-03-02,729
2015-03-03,1920
2015-03-04,1741
2015-03-05,1334
2015-03-06,2094
2015-03-07,1875
2015-03-08,1575
2015-03-09,703
2015-03-10,1914
2015-03-11,1322
2015-03-12,1501
2015-03-13,1734
2015-03-14,1801
2015-03-15,999
2015-03-16,393
2015-03-17,1944
2015-03-18,1279
2015-03-19,1553
2015-03-20,2013
2015-03-21,1746
2015-03-22,1127
2015-03-23,619
2015-03-24,831
2015-03-25,984
2015-03-26,1086
2015-03-27,2079
2015-03-28,2215
2015-03-29,2471
2015-03-30,1137
2015-03-31,2988
2015-04-01,711
2015-04-02,1679
2015-04-03,1292
2015-04-04,1495
2015-04-05,1085
2015-04-06,688
2015-04-07,1832
2015-04-08,1933
2015-04-09,2231
2015-04-10,2205
2015-04-11,1794
2015-04-12,1299
2015-04-13,603
2015-04-14,2159
2015-04-15,1063
2015-04-16,1708
2015-04-17,1618
2015-04-18,1890
2015-04-19,1441
2015-04-20,667
2015-04-21,1875
2015-04-22,1349
2015-04-23,1436
2015-04-24,1358
2015-04-25,1838
2015-04-26,1134
2015-04-27,616
2015-04-28,2015
2015-04-29,1484
2015-04-30,3360
2015-05-01,1678
2015-05-02,1586
2015-05-03,1049
2015-05-04,1016
2015-05-05,1728
2015-05-06,1543
2015-05-07,1883
2015-05-08,1224
2015-05-09,2728
2015-05-10,1022
2015-05-11,306
2015-05-12,1477
2015-05-13,1312
2015-05-14,1480
2015-05-15,1484
2015-05-16,1300
2015-05-17,1374
2015-05-18,624
2015-05-19,951
2015-05-20,2062
2015-05-21,1830
2015-05-22,1789
2015-05-23,1886
2015-05-24,1496
2015-05-25,635
2015-05-26,2105
2015-05-27,1426
2015-05-28,1624
2015-05-29,1576
2015-05-30,1740
2015-05-31,1446
2015-06-01,407
2015-06-02,2190
2015-06-03,1696
2015-06-04,1895
2015-06-05,1426
2015-06-06,1892
2015-06-07,1361
2015-06-08,691
