dates,producto,precio_mean
2020-01-26,PAPA PERUANITA (INJERTO),1.45
2020-01-27,PAPA AMARILLA,1.7
2020-01-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-01-27,PAPA HUAMANTANGA,0.94
2020-01-27,PAPA PERUANITA (INJERTO),1.25
2020-01-28,PAPA AMARILLA,1.5
2020-01-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-01-28,PAPA HUAMANTANGA,1.05
2020-01-28,PAPA PERUANITA (INJERTO),1.15
2020-01-29,PAPA AMARILLA,1.5
2020-01-29,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-01-29,PAPA HUAMANTANGA,1.09
2020-01-29,PAPA PERUANITA (INJERTO),1.25
2020-01-30,PAPA AMARILLA,1.5
2020-01-30,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-01-30,PAPA HUAMANTANGA,1.05
2020-01-30,PAPA PERUANITA (INJERTO),1.15
2020-01-31,PAPA AMARILLA,1.5
2020-01-31,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-01-31,PAPA HUAMANTANGA,1.05
2020-01-31,PAPA PERUANITA (INJERTO),1.2
2020-02-01,PAPA AMARILLA,1.5
2020-02-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-02-01,PAPA HUAMANTANGA,1.05
2020-02-01,PAPA PERUANITA (INJERTO),1.2
2020-02-02,PAPA AMARILLA,1.5
2020-02-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-02-02,PAPA HUAMANTANGA,1.05
2020-02-02,PAPA PERUANITA (INJERTO),1.2
2020-02-03,PAPA AMARILLA,1.5
2020-02-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-02-03,PAPA HUAMANTANGA,1.05
2020-02-03,PAPA PERUANITA (INJERTO),1.2
2020-02-04,PAPA AMARILLA,1.5
2020-02-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.93
2020-02-04,PAPA HUAMANTANGA,0.95
2020-02-04,PAPA PERUANITA (INJERTO),1.15
2020-02-05,PAPA AMARILLA,1.48
2020-02-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.93
2020-02-05,PAPA HUAMANTANGA,0.95
2020-02-05,PAPA PERUANITA (INJERTO),1.08
2020-02-06,PAPA AMARILLA,1.5
2020-02-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.85
2020-02-06,PAPA HUAMANTANGA,0.95
2020-02-06,PAPA PERUANITA (INJERTO),1.0
2020-02-07,PAPA AMARILLA,1.5
2020-02-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.85
2020-02-07,PAPA HUAMANTANGA,0.95
2020-02-07,PAPA PERUANITA (INJERTO),1.0
2020-02-08,PAPA AMARILLA,1.5
2020-02-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.85
2020-02-08,PAPA HUAMANTANGA,0.95
2020-02-08,PAPA PERUANITA (INJERTO),1.0
2020-02-09,PAPA AMARILLA,1.65
2020-02-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2020-02-09,PAPA HUAMANTANGA,0.95
2020-02-09,PAPA PERUANITA (INJERTO),1.0
2020-02-10,PAPA AMARILLA,1.5
2020-02-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2020-02-10,PAPA HUAMANTANGA,0.95
2020-02-10,PAPA PERUANITA (INJERTO),1.0
2020-02-11,PAPA AMARILLA,1.5
2020-02-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2020-02-11,PAPA HUAMANTANGA,0.95
2020-02-11,PAPA PERUANITA (INJERTO),0.95
2020-02-12,PAPA AMARILLA,1.5
2020-02-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-02-12,PAPA HUAMANTANGA,0.95
2020-02-12,PAPA PERUANITA (INJERTO),0.95
2020-02-13,PAPA AMARILLA,1.5
2020-02-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.93
2020-02-13,PAPA HUAMANTANGA,0.93
2020-02-13,PAPA PERUANITA (INJERTO),1.03
2020-02-14,PAPA AMARILLA,1.5
2020-02-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.93
2020-02-14,PAPA HUAMANTANGA,0.85
2020-02-14,PAPA PERUANITA (INJERTO),1.03
2020-02-15,PAPA AMARILLA,1.5
2020-02-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.93
